English,Urdu
i am going to leave,میں چھوڑنے جا رہا ہوں
turn to the right,دائیں جانب مرڑیں
am i annoying you,کیا میں تمہیں پریشان کر رہا ہوں
then what,پھر کیا
i know the jacksons,میں جیکسن کو جانتا ہوں۔
i will accompany you,میں آپ کا ساتھ دوں گا۔
what did you say,آپ نے کیا کہا
my name is asad,میرا نام اسد ہے۔
i am a teenager,میں ایک نوعمر ہوں
who stopped,جس نے روکا
they stay together at that critical time,وہ اس نازک وقت میں ساتھ رہتے ہیں۔
i am losing weight,میں وزن کم کر رہا ہوں
wheres the beach,ساحل کہاں ہے
zain saw us,زین نے ہمیں دیکھا
have you finished,کیا تم نے ختم کر لیا
summer has come,موسم گرما آ گیا ہے
zain didnt know,زین کو معلوم نہیں تھا۔
dont drink the water,پانی نہ پیو
i was always a loner,میں ہمیشہ تنہا تھا۔
zain will tell us,زین ہمیں بتائے گا۔
youve found it,آپ نے اسے پایا
they are not conservatives,وہ قدامت پسند نہیں ہیں
did you take him home,کیا تم اسے گھر لے گئے؟
i cant remember,میں یاد نہیں کر سکتا
i cant reach tom,میں ٹام تک نہیں پہنچ سکتا
zain knows everybody,زین سب کو جانتا ہے۔
did zain go alone,زین اکیلا چلا گیا کیا؟
lets go by car,گاڑی سے چلو
you are to blame,آپ قصوروار ہیں
when did he get back,وہ کب واپس آیا
i prefer black,میں سیاہ کو ترجیح دیتا ہوں۔
i know everything,میں سب کچھ جانتا ہوں۔
she watched her favorite movie in the cinema,اس نے اپنی پسندیدہ فلم سنیما میں دیکھی۔
i found it funny,مجھے یہ مضحکہ خیز لگا
i feel very cold,مجھے بہت ٹھنڈ لگ رہی ہے۔
its a thankless job,یہ ایک ناشکریہ کام ہے
good heavens,اچھا آسمان
that surprised tom,جس نے ٹام کو حیران کر دیا۔
have you finished writing your essay yet,کیا آپ نے ابھی تک اپنا مضمون لکھنا ختم کیا ہے؟
the boy bowed to me,لڑکے نے مجھے جھکایا
zain won the race,زین نے ریس جیت لی
is the apple red,سیب سرخ ہے؟
zain is a common name,زین ایک عام نام ہے۔
i need a lot of books,مجھے بہت سی کتابوں کی ضرورت ہے۔
you flatter me,تم میری چاپلوسی کرتے ہو۔
here take this,یہاں یہ لے لو
tell zain thanks,زین کو بتائیں شکریہ
he was in france,وہ فرانس میں تھا
i am busy here,میں یہاں مصروف ہوں۔
lets get moving,چلتے ہیں
please proceed,براہ مہربانی آگے بڑھیں
zain cant mean that,زین کا مطلب یہ نہیں ہو سکتا
rest assured,یقین دہانی کرائی
you have a beautiful name,بہت خوبصورت نام ہے تمہارا۔
zain cooks for us,زین ہمارے لیے کھانا پکاتا ہے۔
zain is calm,زین پرسکون ہے
zain is done,زین ہو گیا
zain looks older,زین بوڑھا لگتا ہے۔
try the cake,کیک کی کوشش کریں
i am satisfied,میں مطمئن ہوں
were a little early,تھوڑی جلدی تھی
we were right,ہم صحیح تھے
that was fun,یہ دلچسپ بات تھی۔
they are upset,وہ پریشان ہیں
he is a sharpshooter,وہ ایک شارپ شوٹر ہے
he knows no english,وہ انگریزی نہیں جانتا
i have a head cold,میرا سر ٹھنڈا ہے۔
dont ever think that,یہ کبھی مت سوچنا
i have lost my glasses,میں نے اپنی عینک کھو دی ہے۔
they hired tom,انہوں نے ٹام کو ملازمت پر رکھا
its pretty cold,یہ بہت ٹھنڈا ہے
this is a newspaper,یہ ایک اخبار ہے
i dont disagree,میں متفق نہیں ہوں۔
are these yours tom,کیا یہ آپ کا ٹام ہے؟
you look handsome,تم خوبصورت لگ رہے ہو
zain gave me a wink,زین نے مجھے ایک آنکھ ماری۔
will it rain today,کیا آج بارش ہو گی؟
zain is quite drunk,زین کافی نشے میں ہے۔
the brown hat is old,بھوری ٹوپی پرانی ہے
trust your intuition,اپنے وجدان پر بھروسہ کریں
zain is short,زین مختصر ہے
zain recommended mary,زین نے مریم کی سفارش کی۔
she is in a bad mood,وہ خراب موڈ میں ہے
does it look bad,کیا یہ برا لگتا ہے؟
keep reading,آگے پڑھو۔
my foot hurts,میرے پاؤں میں درد ہے
lock it,اسے بند کرو
were ignoring tom,ٹام کو نظر انداز کر رہے تھے۔
he violated a law,اس نے قانون کی خلاف ورزی کی
i can ride a bike,میں موٹر سائیکل چلا سکتا ہوں۔
his eyes are blue,اس کی آنکھیں نیلی ہیں
dont eat like a pig,سور کی طرح نہ کھاؤ
zain was impressed,زین متاثر ہوا
this is accurate,یہ درست ہے
we share a dream,ہم ایک خواب کا اشتراک کرتے ہیں
i am very tall,میں بہت لمبا ہوں
the girls won,لڑکیوں نے جیت لیا
you are joking,تم مذاق کر رہے ہو
why is this,یہ کیوں ہے
we miss you a lot,ہم آپ کو بہت یاد کرتے ہیں۔
zain just laughed,زین صرف ہنس دیا
turn around,مڑنا
zain married young,زین نے نوجوان سے شادی کی۔
i wasnt overly tired,میں زیادہ نہیں تھکا ہوا تھا۔
he intrigues me,وہ مجھے دلچسپ بناتا ہے
this is weird,یہ عجیب ہے
we go there often,ہم اکثر وہاں جاتے ہیں
i like your city,مجھے آپ کا شہر پسند ہے۔
zain ended up in jail,زین جیل میں ختم ہو گیا
he got tired soon,وہ جلد ہی تھک گیا
i really need a job,مجھے واقعی نوکری کی ضرورت ہے۔
she needs a coat,اسے ایک کوٹ کی ضرورت ہے۔
he is a painter,وہ ایک پینٹر ہے
i adore you,آپ قابل ستائش ہیں
i have just come home,Tu mera putar chuti kar
my nose is itchy,میری ناک میں خارش ہے
she almost drowned,وہ تقریبا ڈوب گیا
he acted foolishly,اس نے بے وقوفانہ کام کیا
he turned traitor,وہ غدار ہو گیا
zain sells shoes,زین جوتے بیچتا ہے۔
arent you afraid,تم ڈرتے ہو؟
i tried to do that,میں نے ایسا کرنے کی کوشش کی۔
tomll die,تم مر جاؤ
all sales are final,تمام فروخت حتمی ہیں
zain bowed,زین جھک گیا
donâ€™t do this to me,میرے ساتھ ایسا مت کرو
we were having fun,ہم مزہ کر رہے تھے
what is your address,تمہارا پتہ کیا ہے
wheres zain from,زین کہاں سے ہے
do you use aftershave,کیا آپ آفٹر شیو استعمال کرتے ہیں؟
i have to leave now,مجھے ابھی جانا ہے
how do you pronounce this word in english,آپ اس لفظ کو انگریزی میں کیسے تلفظ کرتے ہیں؟
it all changed,یہ سب بدل گیا
he told us a lie,اس نے ہمیں جھوٹ کہا
the apples are red,سیب سرخ ہیں
i promised tom,میں نے ٹام سے وعدہ کیا۔
get on with it,اس کے ساتھ جاؤ
zain caught a cold,زین کو ٹھنڈ لگ گئی۔
i will come again,میں پھر آؤں گا۔
lets begin,چلو شروع کریں
they died in battle,وہ جنگ میں مر گئے
he speaks poor french,وہ غریب فرانسیسی بولتا ہے۔
its just a cat,یہ صرف ایک بلی ہے
i am getting better,میں بہتر ہو رہا ہوں۔
i am zains guardian,میں زینوں کا سرپرست ہوں۔
i ran upstairs,میں اوپر بھاگا۔
were not partners,شراکت دار نہیں تھے۔
be a good boy,اچھا لڑکا بنو
zain cant stop mary,زین مریم کو روک نہیں سکتا
she trusts him,وہ اس پر بھروسہ کرتی ہے۔
i dont allow it,میں اس کی اجازت نہیں دیتا
there is a table,ایک میز ہے
yours is over there,آپ کا وہاں ہے
you have no evidence,آپ کے پاس کوئی ثبوت نہیں ہے۔
i saw it coming,میں نے اسے آتے دیکھا
i went to paris,میں پیرس گیا۔
we arrived home late,ہم دیر سے گھر پہنچے
are they satisfied,کیا وہ مطمئن ہیں؟
you make me happy,تم سے مجھے خوشی حاصل ہوتی ہے
zain is a teenager,زین ایک نوعمر ہے۔
he doesnt drink,وہ نہیں پیتا
he can no longer wait,وہ مزید انتظار نہیں کر سکتا
she bit him,اس نے اسے کاٹا
he looks bored,وہ بور لگ رہا ہے
you are a beauty,آپ ایک خوبصورتی ہیں
this is good meat,یہ اچھا گوشت ہے
this room is cramped,یہ کمرہ تنگ ہے
i have sore feet,میرے پاؤں میں درد ہے۔
no one can tell,کوئی نہیں بتا سکتا
ghosts exist,بھوت موجود ہیں
sorry about the mess,گڑبڑ کے بارے میں معذرت
you are what you eat,تم وہی ہو جو تم کھاتے ہو۔
zain had a black cat,زین کے پاس کالی بلی تھی۔
you are unimaginative,آپ غیر تصوراتی ہیں
they live there,وہ وہاں رہتے ہیں
they want it back,وہ اسے واپس چاہتے ہیں
its still new to me,یہ اب بھی میرے لیے نیا ہے۔
he lost face,اس نے چہرہ کھو دیا
he is your father,وہ آپ کا باپ ہے۔
i have a few friends,میرے چند دوست ہیں۔
zain has long legs,زین کی ٹانگیں لمبی ہیں۔
thanks in advance,پیشگی شکریہ
i like your frankness,مجھے آپ کی بے تکلفی پسند ہے۔
i bought a newspaper,میں نے ایک اخبار خریدا۔
i need a lot of them,مجھے ان کی بہت ضرورت ہے۔
zain is hopeless,زین نا امید ہے
i expect your help,مجھے آپ کی مدد کی توقع ہے۔
i am in the house,میں گھر میں ہوں
i am playing a tv game,میں ایک ٹی وی گیم کھیل رہا ہوں۔
zain cant be saved,زین کو بچایا نہیں جا سکتا
nice shot,اچھا شاٹ
they never showed up,انہوں نے کبھی نہیں دکھایا
dont be a stranger,اجنبی نہ بنو
i hate zain now,مجھے اب زین سے نفرت ہے۔
zain is probably lost,زین شاید کھو گیا ہے۔
zain never paid me,زین نے مجھے کبھی ادائیگی نہیں کی۔
mary shaved her legs,مریم نے اپنی ٹانگیں مونڈ دیں۔
he is missed the boat,وہ کشتی سے محروم ہے۔
i want some cake,مجھے کیک چاہیئے
why is she so silent,وہ اتنی خاموش کیوں ہے
i just found them,میں نے انہیں ابھی پایا
we need to do this,ہمیں یہ کرنے کی ضرورت ہے
zain has left us,زین ہمیں چھوڑ گیا
zain goes to school,زین سکول جاتا ہے۔
we came out ahead,ہم آگے نکل آئے
nothing can stop it,کچھ بھی نہیں روک سکتا
zain was all wrong,زین سب غلط تھا
i am not deaf,میں بہرا نہیں ہوں۔
i cant forgive her,میں اسے معاف نہیں کر سکتا
time is running out,Ramzan guzar chuka hy
i ate caviar,میں نے کیویار کھایا
i saw you yesterday,میں نے آپ کو کل دیکھا تھا۔
he drives a truck,وہ ایک ٹرک چلاتا ہے
its just a placebo,یہ صرف ایک پلیسبو ہے۔
i am on the roof,میں چھت پر ہوں
write your full name,اپنا پورا نام لکھیں
he is a student,وہ ایک طالب علم ہے
i am slightly hungry,میں تھوڑا بھوکا ہوں
i swim every day,میں ہر روز تیراکی کرتا ہوں۔
he gave her a box,اس نے اسے ایک باکس دیا
i failed chemistry,میں کیمسٹری میں ناکام رہا۔
can you stand,کیا آپ کھڑے ہو سکتے ہیں
he lost everything,اس نے سب کچھ کھو دیا
i havent got it yet,مجھے ابھی تک نہیں ملا
shes a good liar,وہ ایک اچھا جھوٹا ہے
dogs are faithful,کتے وفادار ہیں
zain is loyal,زین وفادار ہے
turn off the light,روشنی کو بند کر دو۔
he knows my wife,وہ میری بیوی کو جانتا ہے۔
i fear nothing,میں کچھ نہیں ڈرتا
he sleeps in the afternoon,وہ دوپہر میں سوتا ہے
